[2025-08-04 08:01:27,529] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-08-04 08:01:57,707] INFO flights.views - 📦 DB'den alındı ve cache'e yazıldı.
[2025-08-04 08:01:57,709] INFO django.server - "GET /api/flights/ HTTP/1.1" 200 2
[2025-08-04 08:02:28,257] INFO flights.views - 📦 DB'den alındı ve cache'e yazıldı.
[2025-08-04 08:02:28,257] INFO django.server - "GET /api/flights/ HTTP/1.1" 200 2821
[2025-08-04 08:02:32,636] INFO flights.views - ✅ Cache'ten alındı.
[2025-08-04 08:02:32,637] INFO django.server - "GET /api/flights/ HTTP/1.1" 200 2821
[2025-08-04 08:02:46,756] INFO flights.views - ✅ Cache'ten alındı.
[2025-08-04 08:02:46,789] INFO django.server - "GET /api/flights/ HTTP/1.1" 200 16399
[2025-08-04 08:02:46,804] INFO django.server - "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
[2025-08-04 08:02:46,815] INFO django.server - "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
[2025-08-04 08:02:46,815] INFO django.server - "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
[2025-08-04 08:02:46,816] INFO django.server - "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
[2025-08-04 08:02:46,816] INFO django.server - "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
[2025-08-04 08:02:46,817] INFO django.server - "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
[2025-08-04 08:02:46,823] INFO django.server - "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
[2025-08-04 08:02:46,827] INFO django.server - "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
[2025-08-04 08:02:46,828] INFO django.server - "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
[2025-08-04 08:02:46,830] INFO django.server - "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
[2025-08-04 08:02:46,830] INFO django.server - "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
[2025-08-04 08:02:46,830] INFO django.server - "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
[2025-08-04 08:02:58,764] INFO flights.views - ✅ Cache'ten alındı.
[2025-08-04 08:02:58,765] INFO django.server - "GET /api/flights/ HTTP/1.1" 200 2821
[2025-08-04 08:03:09,999] INFO flights.views - ✅ Cache'ten alındı.
[2025-08-04 08:03:10,006] INFO django.server - "GET /api/flights/ HTTP/1.1" 200 16399
[2025-08-04 08:03:10,017] INFO django.server - "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
[2025-08-04 08:03:10,022] INFO django.server - "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
[2025-08-04 08:03:10,023] INFO django.server - "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
[2025-08-04 08:03:10,023] INFO django.server - "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
[2025-08-04 08:03:10,024] INFO django.server - "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
[2025-08-04 08:03:10,025] INFO django.server - "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
[2025-08-04 08:03:10,027] INFO django.server - "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
[2025-08-04 08:03:10,028] INFO django.server - "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
[2025-08-04 08:03:10,029] INFO django.server - "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
[2025-08-04 08:03:10,029] INFO django.server - "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
[2025-08-04 08:03:10,029] INFO django.server - "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
[2025-08-04 08:03:15,380] INFO django.server - "GET /api/crew/ HTTP/1.1" 200 29896
[2025-08-04 08:03:15,403] INFO django.server - "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
[2025-08-04 08:03:15,405] INFO django.server - "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
