[2025-08-05 15:06:12,256] INFO drf_case.middleware - 📡 GET /health/ from 127.0.0.1 took 0.29s
[2025-08-05 15:06:22,703] INFO drf_case.middleware - 📡 GET /health/ from 172.18.0.7 took 0.27s
[2025-08-05 15:06:34,870] INFO drf_case.middleware - 📡 POST /api/token/ from 127.0.0.1 took 0.27s
[2025-08-05 15:06:34,880] WARNING django.request - Unauthorized: /api/token/
[2025-08-05 15:06:35,425] INFO drf_case.middleware - 📡 POST /api/token/ from 127.0.0.1 took 0.27s
[2025-08-05 15:06:35,958] INFO drf_case.middleware - 📡 POST /api/token/ from 127.0.0.1 took 0.27s
[2025-08-05 15:06:35,961] INFO drf_case.middleware - 📡 POST /api/token/refresh/ from 127.0.0.1 took 0.00s
[2025-08-05 15:06:36,550] INFO drf_case.middleware - 📡 POST /api/users/register/ from 127.0.0.1 took 0.32s
[2025-08-05 15:06:36,835] INFO drf_case.middleware - 📡 POST /api/users/register/ from 127.0.0.1 took 0.28s
[2025-08-05 15:06:37,114] INFO drf_case.middleware - 📡 POST /api/users/register/ from 127.0.0.1 took 0.28s
[2025-08-05 15:06:37,392] INFO drf_case.middleware - 📡 POST /api/users/register/ from 127.0.0.1 took 0.28s
[2025-08-05 15:06:43,086] INFO drf_case.middleware - 📡 GET /health/ from 127.0.0.1 took 0.29s
[2025-08-05 15:06:44,443] INFO drf_case.middleware - 📡 POST /api/token/ from 127.0.0.1 took 0.27s
[2025-08-05 15:06:44,448] INFO flights.views - Yeni uçuş oluşturuldu: TK9999 - İzmir → Madrid
[2025-08-05 15:06:44,451] INFO drf_case.middleware - 📡 POST /api/flights/ from 127.0.0.1 took 0.01s
[2025-08-05 15:06:45,519] INFO drf_case.middleware - 📡 POST /api/token/ from 127.0.0.1 took 0.26s
[2025-08-05 15:06:45,525] INFO flights.views - Yeni uçuş oluşturuldu: TK8888 - Antalya → Rome
[2025-08-05 15:06:45,526] INFO drf_case.middleware - 📡 POST /api/flights/ from 127.0.0.1 took 0.00s
[2025-08-05 15:06:46,602] INFO drf_case.middleware - 📡 POST /api/token/ from 127.0.0.1 took 0.27s
[2025-08-05 15:06:46,606] INFO flights.views - Yeni uçuş oluşturuldu: TK7777 - Ankara → Vienna
